sample_index,time_s,wall_time,cmd_q_shoulder_pan_joint,cmd_q_shoulder_lift_joint,cmd_q_elbow_joint,cmd_q_wrist_1_joint,cmd_q_wrist_2_joint,cmd_q_wrist_3_joint,cmd_dq_fd_shoulder_pan_joint,cmd_dq_fd_shoulder_lift_joint,cmd_dq_fd_elbow_joint,cmd_dq_fd_wrist_1_joint,cmd_dq_fd_wrist_2_joint,cmd_dq_fd_wrist_3_joint,cmd_ddq_fd_shoulder_pan_joint,cmd_ddq_fd_shoulder_lift_joint,cmd_ddq_fd_elbow_joint,cmd_ddq_fd_wrist_1_joint,cmd_ddq_fd_wrist_2_joint,cmd_ddq_fd_wrist_3_joint,cmd_jerk_fd_shoulder_pan_joint,cmd_jerk_fd_shoulder_lift_joint,cmd_jerk_fd_elbow_joint,cmd_jerk_fd_wrist_1_joint,cmd_jerk_fd_wrist_2_joint,cmd_jerk_fd_wrist_3_joint
0,0.0,1782105361.8012958,-0.006363626731051831,-1.566410615087324,1.1048710143069167,-1.567570872689486,-1.5693589979145413,0.0022534532480188536,-0.11027922505265979,0.0714376644497418,0.05109830102425565,0.018251575281695135,-0.044137478511877194,0.021232291215395136,-0.506983495529404,0.3712301943199076,-0.06797791376657668,0.341197523580313,-0.23471853330422252,0.015763619767182217,-7.334493996311667,-0.6149768512749159,-2.1512476516296397,0.26435473062715037,-1.0879033264532323,0.417726234336892
1,0.05009794235229492,1782105361.8513937,-0.011888388990395739,-1.5628317350919383,1.10743093404593,-1.566656506323185,-1.571570194768605,0.003317147349334857,-0.13567805498525684,0.09003553332421177,0.04769274741914842,0.035344869148767444,-0.05589639406236735,0.022022016129754927,-0.8744265529398791,0.34042111947674103,-0.1757509946034282,0.35444115163582846,-0.28922025143774643,0.03669084457403307,-4.670519094681567,-2.3862369720012326,-1.7095991559799515,-1.450334275129949,0.15953755624853638,0.3885889133585122
2,0.09981036186218262,1782105361.901106,-0.01988619418954158,-1.5574384205571723,1.1096338604190232,-1.564056217508793,-1.5749290054573177,0.004450872075790212,-0.1972738304498204,0.105438883371761,0.03363930888882827,0.053618302733530854,-0.07296279484391377,0.024878343928733133,-0.975195839469706,0.13441948624972266,-0.23895284507215636,0.19775615127068125,-0.21975316515406795,0.05457119958770931,3.520920534082138,-3.937323574676869,1.0918018023856988,-2.4308380825511646,2.8917449718805313,0.25863356604435817
3,0.15159082412719727,1782105361.9528866,-0.03206393148514859,-1.5521433223378935,1.110800017187849,-1.5612090922008754,-1.5789981899563872,0.0058508732650576194,-0.23353950186109682,0.10293746997498232,0.023625417850857033,0.054698682686870725,-0.07767813616238328,0.027548420141381022,-0.49365402759756294,-0.058317148049403245,-0.05496338440099402,0.11077249321417193,0.01058066651430789,0.06251369838404797,5.548261534570452,-2.0351364339784483,3.1038855657730218,-0.2730985440025495,2.5171032479510353,0.22284140438596534
4,0.2032318115234375,1782105362.0045276,-0.04403964506940354,-1.546792666762019,1.112076927768159,-1.5583991208161245,-1.5829628436257182,0.007299827223338383,-0.24838583233794953,0.09941042765409591,0.027916353569933605,0.06504950856543346,-0.07189684256963247,0.03134055130575422,-0.40034154018274837,-0.07652724290157686,0.082180683861593,0.1691200181611252,0.0411072765494952,0.0775984327428691,0.05400860688133857,0.017469012314548227,1.0186796115334549,-0.40021460573764367,-0.8884609573176389,0.21160100431903495
5,0.251664400100708,1782105362.0529602,-0.05681831019106216,-1.5421688386691617,1.1135738748888042,-1.5547654837122868,-1.586223483848603,0.00896682650549167,-0.2729014686768701,0.09533027216803802,0.03185519676394044,0.07181784723655582,-0.07312391172743204,0.03528807178665874,-0.47735036787580887,-0.05887003052752304,0.057157773454011684,0.08023482198642773,-0.06913148734057373,0.08418991550844801,-0.6095566016151532,0.22859108813850648,-1.2633430775633785,-0.6679426711856495,-1.5899442424801817,0.143495783552821
6,0.3027937412261963,1782105362.1040895,-0.07126045148088787,-1.5373021719455449,1.1152537444061563,-1.5512665746845686,-1.590275358181934,0.010817993813010709,-0.2957519311001304,0.09368987857307864,0.03347310966085715,0.07270792348697519,-0.07902249638351577,0.0397375434605438,-0.45559480934121366,-0.054522110574678706,-0.04773958021338365,0.10908943235150803,-0.11338667052817286,0.09192617161819266,0.1486852279917592,0.019908578884136108,-2.231325805024148,-0.7534361432447275,0.7739156414751749,-0.36746083013931186
7,0.35421109199523926,1782105362.1555068,-0.08715436865212343,-1.5325621143024548,1.1170067884281922,-1.5473070570259846,-1.5943268494453684,0.013043820342147022,-0.31962622311821387,0.08972624845262445,0.026913805750441,0.08305756646884888,-0.08475019638482095,0.044717628374663504,-0.4622630896188875,-0.05686609289631983,-0.1717611190080482,0.002211232436892141,0.011178027166946713,0.04620836075308654,-2.3509909565728115,0.5393749955823147,-0.8063238133838928,-4.421159887063034,2.550894113880851,-0.2865613709065924
8,0.39973878860473633,1782105362.2010345,-0.10212991638332994,-1.5285763206946001,1.117942642786095,-1.5432817398299143,-1.5984253526827739,0.015137286464371097,-0.3405889300789008,0.08795244147495929,0.017312449336474245,0.07513296228733779,-0.07929998910794822,0.044779641884039725,-0.6588449133125973,-0.008728191231590077,-0.14373981134698227,-0.29350721618791265,0.13248543727461926,0.057453901165685106,-2.265321807816795,0.7152430664461839,1.4007444627146441,-3.2489623766991462,0.4473699700116559,0.800481844788999
9,0.45014286041259766,1782105362.2514386,-0.11994743544791464,-1.5241205106901314,1.1186342775958897,-1.5402358894884816,-1.6018240664366243,0.01732725367635151,-0.38486901571598375,0.08919958175213338,0.013814567530420874,0.05367358625410645,-0.07190938542906622,0.05080562864738583,-0.6584895764169691,0.008233456374142967,-0.029316577224395124,-0.2761106551232773,0.03131415739253196,0.1286870075846126,3.802105263635228,-0.7208955881716146,1.3246765395332123,1.8863733203825281,-1.840599039777584,0.2807468814514317
10,0.4995265007019043,1782105362.3008223,-0.14047173025733722,-1.5196769102206005,1.1193209794729042,-1.5379121288350772,-1.605591975144038,0.020192200440032084,-0.4067425687214026,0.08880739159403817,0.014306044906501114,0.04727821598132742,-0.07594226524175518,0.057602572538384966,-0.2871083156375591,-0.07852853028654638,-0.009643383478581055,-0.10838394069195273,-0.05152030687859732,0.08775685994505483,5.287954223453253,-2.598569447816259,0.3450529380012472,1.5726338740523904,-0.20192923736173146,-0.6496854829408961
11,0.550239086151123,1782105362.3515348,-0.16063694781861917,-1.5152343878750172,1.1200673377525534,-1.535502917976844,-1.6094246403869337,0.023091945305282684,-0.41318774180892226,0.08114903583047806,0.012796517454663814,0.04288165249954545,-0.07698517626950796,0.05945540325629792,-0.13519856206637382,-0.25414071031484164,0.005078289174185319,-0.12360853956924117,0.015076119013751388,0.06413846900828657,2.259858284548643,-1.9552152737941864,0.9122576303695958,0.04383691837677439,0.9131652603685121,-0.10850317876875093
12,0.6007401943206787,1782105362.402036,-0.18228542436395462,-1.5114607929637722,1.1206169730292608,-1.5335699660972368,-1.6133833345039639,0.026208941017242155,-0.42042309307813563,0.06312839819292115,0.014805330350311507,0.034782919026412173,-0.0744313987492049,0.06408261360601705,-0.05806921564012457,-0.27705943889588336,0.0824270679134618,-0.104092258514143,0.041073371222346,0.0766240766184102,1.302890643749339,1.3074256353718976,0.8189681398342082,1.0688311077867703,-0.04931789125568641,-0.19778917398657214
13,0.6569411754608154,1782105362.458237,-0.2053976124640153,-1.5086380906326653,1.121694326767327,-1.5318335684561335,-1.6173189733602218,0.02995813113241734,-0.41835775576354206,0.05254697527764307,0.022105288318632788,0.03245251696530005,-0.07271691515767209,0.06745068411579447,0.0011202518301440811,-0.09342478455785408,0.08388132017012423,-0.0013440946301524481,0.003020257302774443,0.03767450192779975,-2.7545591278161403,3.253642493344703,-0.42872724236537385,1.5577188103945758,-0.973799469248585,0.02874444241706986
14,0.7111785411834717,1782105362.5124743,-0.22846070519969572,-1.5056665509574987,1.1230469170455506,-1.5299919689527162,-1.6214036946541122,0.03365522660044339,-0.4201618958719915,0.05244471555891472,0.024246575727394415,0.03447966601073915,-0.07399178825587427,0.06832919518380698,-0.34758555877182973,0.08232078940232729,0.036833282581865884,0.06898342198229479,-0.06532654155577977,0.0770134675210391,-4.989366333412406,2.227336515550614,-0.576575247724969,0.7901696999198506,-0.9328574774029462,0.6723417234512656
15,0.7670917510986328,1782105362.5683875,-0.25166145447829896,-1.5028692492468767,1.1243627466167667,-1.5280338258144448,-1.6254647183294904,0.037485189807067394,-0.45771428961210825,0.06190125082440545,0.026153487814328358,0.0401586571703092,-0.08005500814754996,0.07614074708215313,-0.5435607079389317,0.14847000984948866,0.021361197615168748,0.08396972264573244,-0.09862062701091645,0.11155305001282267,1.3940786681514599,-1.1251815117207338,-0.5684772364434996,-0.1540080926531433,0.009595200395973613,-0.45342100717069544
16,0.8143293857574463,1782105362.6156251,-0.27498975162877687,-1.4994713948036207,1.1257027372720136,-1.5259317960413261,-1.6295426123593526,0.041386892298373945,-0.4782802251089926,0.06809016747492969,0.02665396404126774,0.043422874376204845,-0.08432174617935928,0.08028661583325897,-0.28219490869522,0.003201007817903001,-0.017135976984603063,0.05985205836059093,-0.07402072011801453,0.047386607942718095,3.408270799879791,-2.972375093993598,-0.7639446866651094,-0.5464132285199356,0.8202821502695321,-1.0328037613888696
17,0.864837646484375,1782105362.6661334,-0.2983060129675022,-1.4962397090669985,1.1269564687828606,-1.523796701301741,-1.6336932504092407,0.04531723873339444,-0.4842610277456183,0.06134911791658482,0.024290842322404416,0.04594634903757466,-0.08717988738051119,0.0804993162737101,-0.22479575792217066,-0.141371018303716,-0.05296594718669348,0.03031743088956418,-0.01641439936532807,0.012804093867550215,1.2516632477410872,-1.458816428865387,-0.41365363048456627,-0.7159248949142936,1.5389704141526797,-0.6441199642918161
18,0.9122984409332275,1782105362.7135942,-0.32229858915623366,-1.4934455088124663,1.1280856296586736,-1.5214521938205783,-1.6380539736091795,0.04925747249799944,-0.4996744144373073,0.05428691948597475,0.021501465338930714,0.0465091624443108,-0.08616731559521718,0.08149022770131498,-0.16025178800921047,-0.14801419703745589,-0.05940933801361206,-0.009511035285609093,0.07439556755008703,-0.01595702984588232,0.15893493988876095,0.7268268128425031,-0.06479496875377044,-0.00410168552001311,0.7465877983460416,-0.15926900194087945
19,0.962139368057251,1782105362.7634351,-0.34689664934932,-1.4909798809129882,1.1290374241290217,-1.5192853802046113,-1.6420496001748663,0.053238909491239376,-0.49905106181493775,0.04695091946582508,0.018507102632604244,0.04491663359782194,-0.07968215432731185,0.07876692600050555,-0.21519158629901458,-0.0664198630072535,-0.058924314607810474,0.033993233655328914,0.05053642557620963,-0.00051318536910272,-2.9963742635507087,2.5176213688450613,-0.05882255493351496,1.1887485832082076,-1.3417830496381227,1.3038351001140693
20,1.0126662254333496,1782105362.813962,-0.37239486295996255,-1.4887366285761097,1.1299423322128257,-1.516942018916462,-1.646050824382989,0.057161592879348674,-0.5215872371605594,0.047732070438639695,0.015588956554870137,0.05001207850128253,-0.08120501147349657,0.08151348563951633,-0.4636075161848163,0.10589015347558295,-0.06540792118514104,0.11023736015967545,-0.061468393465878846,0.11627898511620371,0.2582273751643809,1.9849132721247245,0.0757879300314267,0.1812009378707412,-0.9368111305833465,1.1172957756266233
21,1.0624518394470215,1782105362.8637476,-0.39919342430013716,-1.4861966665605129,1.1306046057503916,-1.51427389218851,-1.650192510318088,0.061410021957005075,-0.5455308009396167,0.057439944482620575,0.011957135492947302,0.05596099558374057,-0.08580209688309992,0.09034003527775247,-0.19690337198254593,0.134789259455099,-0.05162220782767403,0.05412392696408619,-0.04532097092067311,0.11332290175781512,4.472657100844105,-0.7191804131401998,0.8708041666804105,-1.414436602271282,0.597407820482461,-0.6940868233432037
22,1.1107687950134277,1782105362.9120646,-0.42589185029211846,-1.483120207507221,1.1311192514272574,-1.5114589563716712,-1.6544606723787378,0.06600969641565634,-0.541725944484456,0.06112947390169232,0.01046296515510825,0.055510945683247215,-0.08578718099940374,0.09281587714234552,-0.02226892877369835,0.03909788776513856,0.018301455740393935,-0.02769095914155406,-0.0036514097997422112,0.050024131524256,1.3882476021162926,-1.3876687125472207,1.0480447827619472,-0.8747988232699329,0.47464314719843687,-0.9585026932622471
23,1.161909818649292,1782105362.9632056,-0.45300936228230543,-1.480131635457945,1.1316441354162983,-1.5087688653036266,-1.6587099089203532,0.07062745415024499,-0.5483328542955057,0.06111192367984586,0.014063520715190236,0.053100082916383684,-0.08618827968432186,0.09530825647164709,-0.07177185485357374,0.00022073689391244322,0.05029391580112934,-0.02812371139020675,-0.0003681531685636452,0.020035912933668687,2.15977203640153,-0.6615063834484414,-0.38336452948595495,0.1218239518046196,0.5153214373771792,-1.0301404919553825
24,1.2097163200378418,1782105363.011012,-0.48003136332110286,-1.4770905859577872,1.1324862854446722,-1.506208051698541,-1.6629687914288487,0.07540786620693145,-0.5491980323703363,0.06114767713524927,0.015569169268987437,0.05260547862689613,-0.08587183370956986,0.09498353961346528,0.17125615547568884,-0.026993233694815877,-0.013122226633153683,-0.016477336378410756,0.04442790489587489,-0.04904276246296391,2.6894905643884996,-0.15122585977897923,-0.8237013394984571,0.18763346303749076,0.2128614188232728,-0.5395420820878736
