sample_index,time_s,wall_time,ros_time,q_shoulder_pan_joint,q_shoulder_lift_joint,q_elbow_joint,q_wrist_1_joint,q_wrist_2_joint,q_wrist_3_joint,dq_msg_shoulder_pan_joint,dq_msg_shoulder_lift_joint,dq_msg_elbow_joint,dq_msg_wrist_1_joint,dq_msg_wrist_2_joint,dq_msg_wrist_3_joint,dq_fd_shoulder_pan_joint,dq_fd_shoulder_lift_joint,dq_fd_elbow_joint,dq_fd_wrist_1_joint,dq_fd_wrist_2_joint,dq_fd_wrist_3_joint,ddq_fd_shoulder_pan_joint,ddq_fd_shoulder_lift_joint,ddq_fd_elbow_joint,ddq_fd_wrist_1_joint,ddq_fd_wrist_2_joint,ddq_fd_wrist_3_joint,jerk_fd_shoulder_pan_joint,jerk_fd_shoulder_lift_joint,jerk_fd_elbow_joint,jerk_fd_wrist_1_joint,jerk_fd_wrist_2_joint,jerk_fd_wrist_3_joint
0,0.0,1782105356.559636,1.23,-6.20719893813515e-05,-1.5700031964905568,1.1000290200093374,-1.5700209418492788,-1.5699973389176871,1.0829615213481247e-06,-0.0008141365483814184,-0.003196412429476956,0.02902000861301664,-0.020941849176368113,0.0026610825428092537,0.00036342155781130805,8.881784197001245e-14,2.664535259100373e-13,-8.881784197001245e-14,0.0,0.0,-8.881784197001245e-14,-1.3322676295501859e-11,-1.8118839761882513e-11,4.61852778244064e-12,0.0,9.947598300641395e-12,-7.573064690121706e-27,6.661338147750924e-10,5.329070518200585e-11,1.9539925233402763e-10,0.0,-1.2079226507921682e-09,2.2204460492503136e-10
1,0.010000000000000009,1782105356.5614727,1.24,-6.207198938046332e-05,-1.570003196490554,1.1000290200093366,-1.5700209418492788,-1.5699973389176871,1.0829615204599463e-06,-0.0008141365484666073,-0.003196412429383549,0.02902000861285338,-0.020941849175782182,0.002661082542536073,0.0003634215577815315,-4.440892098500626e-14,8.526512829121202e-14,-4.263256414560601e-14,0.0,9.947598300641403e-14,-8.881784197001252e-14,-6.6613381477509295e-12,-1.7585932710062454e-11,6.572520305780918e-12,0.0,-2.131628207280299e-12,2.220446049250308e-12,8.881784197001233e-10,6.927791673660951e-10,-1.2434497875801696e-10,-1.0658141036401486e-10,-9.947598300641386e-10,2.220446049250313e-10
2,0.020000000000000018,1782105356.571717,1.25,-6.207198938223968e-05,-1.570003196490555,1.1000290200093366,-1.5700209418492788,-1.5699973389176853,1.082961519571768e-06,-0.0008141365484109413,-0.0031964124292942885,0.029020008612663555,-0.020941849175149668,0.0026610825428164423,0.0003634215578888402,-4.440892098500626e-14,-8.526512829121202e-14,4.263256414560601e-14,0.0,-4.263256414560601e-14,-4.440892098500626e-14,4.440892098500622e-12,-4.263256414560598e-12,2.131628207280299e-12,-2.131628207280299e-12,-9.947598300641395e-12,4.440892098500622e-12,3.330669073875462e-10,1.3056222769591814e-09,-5.417888360170754e-10,0.0,3.1974423109204457e-10,1.6802106192483375e-25
3,0.030000000000000027,1782105356.581802,1.26,-6.20719893813515e-05,-1.5700031964905559,1.1000290200093374,-1.5700209418492788,-1.569997338917688,1.082961519571768e-06,-0.0008141365484109376,-0.003196412429463788,0.029020008613231098,-0.020941849176596472,0.0026610825422540545,0.0003634215580180819,4.440892098500626e-14,0.0,0.0,-4.263256414560601e-14,-9.947598300641403e-14,0.0,0.0,8.526512829121196e-12,-4.263256414560598e-12,0.0,4.263256414560598e-12,2.220446049250311e-12,-3.330669073875464e-10,2.1316282072802972e-10,0.0,5.684341886080792e-10,7.46069872548104e-10,-1.1102230246251546e-10
4,0.040000000000000036,1782105356.5917435,1.27,-6.20719893813515e-05,-1.570003196490555,1.1000290200093366,-1.5700209418492796,-1.5699973389176871,1.082961519571768e-06,-0.0008141365484060722,-0.003196412429349822,0.02902000861294505,-0.020941849175940996,0.0026610825424182053,0.00036342155780509384,-4.440892098500626e-14,8.526512829121202e-14,-4.263256414560601e-14,0.0,4.263256414560601e-14,0.0,-2.220446049250311e-12,0.0,2.131628207280299e-12,9.237055564881294e-12,4.973799150320697e-12,2.220446049250311e-12,2.2204460492503092e-10,-8.526512829121189e-10,3.1974423109204457e-10,0.0,-2.1316282072802972e-10,-1.1102230246251546e-10
5,0.050000000000000044,1782105356.6016705,1.28,-6.207198938223968e-05,-1.570003196490554,1.1000290200093366,-1.5700209418492788,-1.5699973389176871,1.082961519571768e-06,-0.000814136548410191,-0.003196412429335619,0.029020008612804713,-0.020941849175600394,0.0026610825425415078,0.0003634215578347151,0.0,0.0,4.263256414560601e-14,1.4210854715202004e-13,0.0,4.440892098500626e-14,4.440892098500622e-12,-8.526512829121196e-12,2.131628207280299e-12,0.0,0.0,0.0,1.1102230246251546e-10,0.0,-3.1974423109204457e-10,-1.385558334732193e-09,-1.4210854715201978e-10,-3.330669073875464e-10
6,0.06000000000000005,1782105356.6117182,1.29,-6.20719893813515e-05,-1.570003196490555,1.1000290200093374,-1.570020941849277,-1.5699973389176871,1.0829615204599463e-06,-0.0008141365484425732,-0.0031964124293727657,0.02902000861298589,-0.02094184917618903,0.0026610825424166987,0.0003634215579313917,4.440892098500626e-14,-8.526512829121202e-14,0.0,0.0,4.263256414560601e-14,0.0,0.0,0.0,-4.263256414560598e-12,-1.847411112976259e-11,2.131628207280299e-12,-4.440892098500622e-12,-4.4408920985006184e-10,5.329070518200743e-10,-1.0658141036401486e-10,0.0,-1.0658141036401486e-10,0.0
7,0.07000000000000006,1782105356.6217785,1.3,-6.20719893813515e-05,-1.5700031964905559,1.1000290200093366,-1.5700209418492788,-1.5699973389176862,1.082961519571768e-06,-0.0008141365484672347,-0.0031964124293329186,0.02902000861282167,-0.020941849175954007,0.002661082542634265,0.00036342155775633553,0.0,0.0,-4.263256414560601e-14,-2.2737367544323206e-13,4.263256414560601e-14,-4.440892098500626e-14,-4.440892098500622e-12,2.131628207280299e-12,0.0,0.0,-2.131628207280299e-12,0.0,0.0,1.0658141036401486e-10,3.1974423109204457e-10,1.5987211554602227e-09,-7.105427357600992e-11,4.4408920985006184e-10
8,0.08000000000000007,1782105356.631631,1.31,-6.20719893813515e-05,-1.570003196490555,1.1000290200093366,-1.5700209418492814,-1.5699973389176862,1.082961519571768e-06,-0.0008141365484036768,-0.003196412429333585,0.029020008612964568,-0.02094184917698188,0.0026610825426886305,0.0003634215578244295,-4.440892098500626e-14,-4.263256414560601e-14,0.0,0.0,0.0,0.0,0.0,2.131628207280299e-12,2.131628207280299e-12,1.3500311979441892e-11,7.105427357600994e-13,4.440892098500622e-12,4.4408920985006184e-10,3.1974423109204457e-10,0.0,1.421085471520198e-10,1.0658141036401486e-10,0.0
9,0.09000000000000008,1782105356.6416798,1.32,-6.207198938223968e-05,-1.5700031964905568,1.1000290200093366,-1.5700209418492788,-1.5699973389176862,1.082961519571768e-06,-0.0008141365484718356,-0.003196412429376608,0.029020008612972763,-0.02094184917565742,0.0026610825429649954,0.00036342155774448,0.0,4.263256414560601e-14,0.0,4.263256414560601e-14,5.684341886080802e-14,4.440892098500626e-14,4.440892098500622e-12,8.526512829121196e-12,0.0,2.8421709430403983e-12,0.0,0.0,-1.1102230246251546e-10,-3.1974423109204457e-10,0.0,-8.881784197001238e-10,-4.263256414560594e-10,-4.4408920985006184e-10
