difficulty_tag,metric,num_pairs,sage_wins,ties,storm_wins,sage_win_rate,tie_rate,storm_win_rate
all,wall_time,60,21,0,39,0.35,0.0,0.65
all,final_ee_error,60,34,8,18,0.5666666666666667,0.13333333333333333,0.3
all,minimum_safety_margin,60,22,22,16,0.36666666666666664,0.36666666666666664,0.26666666666666666
all,trajectory_length_ee,60,16,1,43,0.26666666666666666,0.016666666666666666,0.7166666666666667
all,trajectory_length_joint,60,17,1,42,0.2833333333333333,0.016666666666666666,0.7
around_tall_obstacle,wall_time,20,7,0,13,0.35,0.0,0.65
around_tall_obstacle,final_ee_error,20,12,3,5,0.6,0.15,0.25
around_tall_obstacle,minimum_safety_margin,20,12,3,5,0.6,0.15,0.25
around_tall_obstacle,trajectory_length_ee,20,10,0,10,0.5,0.0,0.5
around_tall_obstacle,trajectory_length_joint,20,4,0,16,0.2,0.0,0.8
easy,wall_time,10,3,0,7,0.3,0.0,0.7
easy,final_ee_error,10,4,1,5,0.4,0.1,0.5
easy,minimum_safety_margin,10,1,9,0,0.1,0.9,0.0
easy,trajectory_length_ee,10,1,1,8,0.1,0.1,0.8
easy,trajectory_length_joint,10,1,1,8,0.1,0.1,0.8
hard_reach,wall_time,15,6,0,9,0.4,0.0,0.6
hard_reach,final_ee_error,15,11,1,3,0.7333333333333333,0.06666666666666667,0.2
hard_reach,minimum_safety_margin,15,7,2,6,0.4666666666666667,0.13333333333333333,0.4
hard_reach,trajectory_length_ee,15,3,0,12,0.2,0.0,0.8
hard_reach,trajectory_length_joint,15,6,0,9,0.4,0.0,0.6
near_obstacle,wall_time,15,5,0,10,0.3333333333333333,0.0,0.6666666666666666
near_obstacle,final_ee_error,15,7,3,5,0.4666666666666667,0.2,0.3333333333333333
near_obstacle,minimum_safety_margin,15,2,8,5,0.13333333333333333,0.5333333333333333,0.3333333333333333
near_obstacle,trajectory_length_ee,15,2,0,13,0.13333333333333333,0.0,0.8666666666666667
near_obstacle,trajectory_length_joint,15,6,0,9,0.4,0.0,0.6
