pair_id,benchmark_seed,target_id,difficulty_tag,storm_success,sage_success,wall_time_storm,wall_time_sage,faster_winner,final_ee_error_storm,final_ee_error_sage,final_error_winner,minimum_safety_margin_storm,minimum_safety_margin_sage,minimum_margin_winner,trajectory_length_ee_storm,trajectory_length_ee_sage,trajectory_length_ee_winner,trajectory_length_joint_storm,trajectory_length_joint_sage,trajectory_length_joint_winner
0:sage44_manual_static_tall_002,0,sage44_manual_static_tall_002,manual_grid,True,True,11.30990195274353,11.208122968673706,sage,0.009819916565559,0.0090563859916133,sage,0.0166247692961867,0.0380671596555875,sage,0.9838220028808624,0.8942629331300095,sage,4.024213175779561,1.647533054269563,sage
0:sage44_manual_static_tall_003,0,sage44_manual_static_tall_003,manual_grid,True,True,11.206074953079224,8.782914876937866,sage,0.0099479311329687,0.0092778724854285,sage,0.0200251052602442,0.0434917373892878,sage,0.9160219109869868,0.7915334360243359,sage,4.090932284985254,1.5220150738778868,sage
0:sage44_manual_static_tall_004,0,sage44_manual_static_tall_004,manual_grid,True,True,7.486630439758301,9.74062180519104,storm,0.0099915335022112,0.0089663959648201,sage,0.0406658404252876,0.0483062744034156,sage,0.789619012888245,0.7878884729582093,sage,1.816098334380068,1.624591577915147,sage
0:sage44_manual_static_tall_007,0,sage44_manual_static_tall_007,manual_grid,True,True,19.11773991584778,9.601817846298218,sage,0.0099836991022768,0.0087859565862942,sage,0.0218958632808714,0.0174264699541789,storm,0.9700880828723248,0.740154772709732,sage,4.291379716874683,1.381354157327174,sage
0:sage44_manual_static_tall_008,0,sage44_manual_static_tall_008,manual_grid,False,True,21.92622709274292,8.209354162216187,sage,0.0766482825940265,0.00885620543035,sage,0.019651065092862,0.0432902847845015,sage,1.1399601869675875,0.6675864140236668,sage,8.24093094279194,1.2994664410982444,sage
0:sage44_manual_static_tall_009,0,sage44_manual_static_tall_009,manual_grid,True,True,9.126940965652466,9.9978449344635,storm,0.0098228634738279,0.0092641988774598,sage,0.036149767667529,0.0389958005534234,sage,0.6587614028159037,0.7111959178844317,storm,1.425654659714543,1.484607277238618,storm
0:sage44_manual_static_tall_013,0,sage44_manual_static_tall_013,manual_grid,False,True,22.98276782035828,10.862963438034058,sage,0.2762297295511138,0.0086651976036896,sage,0.0602113942924197,0.0268209292601251,storm,0.6375576564699366,0.906989639124766,storm,4.578379314016981,2.0196245779031488,sage
0:sage44_manual_static_tall_014,0,sage44_manual_static_tall_014,manual_grid,False,True,24.6608669757843,11.912448167800903,sage,0.0346519292642336,0.0087865191846791,sage,0.0245874143248377,0.0186124708318421,storm,0.8956574190370621,0.7038308868543371,sage,5.686681861096385,1.6139518210317731,sage
0:sage44_manual_static_tall_015,0,sage44_manual_static_tall_015,manual_grid,True,True,5.245476722717285,8.009727954864502,storm,0.0094392706072219,0.008031330589511,sage,0.0554319431864414,0.055607001837078,sage,0.6082955637236818,0.599127837080264,sage,1.4415624408550278,1.2641125513122142,sage
0:sage44_manual_static_tall_016,0,sage44_manual_static_tall_016,manual_grid,True,True,16.866507530212402,7.403943061828613,sage,0.0094180643652958,0.0096113187114529,storm,0.05327366483528,0.0556379933194078,sage,0.5924211733365976,0.6069701980708618,storm,1.3264134071275953,1.2172435146387617,sage
