target_id,difficulty_tag,storm_mppi_tuned_outcome_status,storm_mppi_tuned_success,storm_mppi_tuned_collision,storm_mppi_tuned_timeout,storm_mppi_tuned_final_ee_error,storm_mppi_tuned_minimum_safety_margin,storm_mppi_tuned_wall_time,storm_mppi_tuned_steps_to_goal,storm_mppi_tuned_rrtstar_exact_solution,storm_mppi_tuned_rrtstar_approximate_solution,storm_mppi_tuned_skipped_reason,sage_mppi_tuned_outcome_status,sage_mppi_tuned_success,sage_mppi_tuned_collision,sage_mppi_tuned_timeout,sage_mppi_tuned_final_ee_error,sage_mppi_tuned_minimum_safety_margin,sage_mppi_tuned_wall_time,sage_mppi_tuned_steps_to_goal,sage_mppi_tuned_rrtstar_exact_solution,sage_mppi_tuned_rrtstar_approximate_solution,sage_mppi_tuned_skipped_reason,rrtstar_ompl_outcome_status,rrtstar_ompl_success,rrtstar_ompl_collision,rrtstar_ompl_timeout,rrtstar_ompl_final_ee_error,rrtstar_ompl_minimum_safety_margin,rrtstar_ompl_wall_time,rrtstar_ompl_steps_to_goal,rrtstar_ompl_rrtstar_exact_solution,rrtstar_ompl_rrtstar_approximate_solution,rrtstar_ompl_skipped_reason
sage44_manual_static_tall_002,manual_grid,success,True,False,False,0.009819916565559,0.0166247692961867,11.30990195274353,466,,,,success,True,False,False,0.0090563859916133,0.0380671596555875,11.208122968673706,109,,,,success,True,False,False,0.009165870720461,0.0201031163791106,5.252182960510254,27,True,False,
sage44_manual_static_tall_003,manual_grid,success,True,False,False,0.0099479311329687,0.0200251052602442,11.206074953079224,453,,,,success,True,False,False,0.0092778724854285,0.0434917373892878,8.782914876937866,90,,,,success,True,False,False,0.0096618424197707,0.0348924079387831,5.116301536560059,26,True,False,
sage44_manual_static_tall_004,manual_grid,success,True,False,False,0.0099915335022112,0.0406658404252876,7.486630439758301,256,,,,success,True,False,False,0.0089663959648201,0.0483062744034156,9.74062180519104,103,,,,success,True,False,False,0.0086401591877427,0.0355728458530271,5.099618434906006,28,True,False,
sage44_manual_static_tall_007,manual_grid,success,True,False,False,0.0099836991022768,0.0218958632808714,19.11773991584778,651,,,,success,True,False,False,0.0087859565862942,0.0174264699541789,9.601817846298218,98,,,,success,True,False,False,0.0095591862233101,0.0085136912798405,5.108664751052856,24,True,False,
sage44_manual_static_tall_008,manual_grid,timeout,False,False,True,0.0766482825940265,0.019651065092862,21.92622709274292,992,,,,success,True,False,False,0.00885620543035,0.0432902847845015,8.209354162216187,82,,,,success,True,False,False,0.0086838078466817,0.0331460764680087,5.078604698181152,22,True,False,
sage44_manual_static_tall_009,manual_grid,success,True,False,False,0.0098228634738279,0.036149767667529,9.126940965652466,211,,,,success,True,False,False,0.0092641988774598,0.0389958005534234,9.9978449344635,104,,,,success,True,False,False,0.008153506785771,0.0307617651740922,5.389365196228027,26,True,False,
sage44_manual_static_tall_013,manual_grid,timeout,False,False,True,0.2762297295511138,0.0602113942924197,22.98276782035828,992,,,,success,True,False,False,0.0086651976036896,0.0268209292601251,10.862963438034058,119,,,,approximate_only,False,False,False,0.5795596818175596,0.0439852065309882,5.471305847167969,30,False,True,OMPL RRTstar returned only an approximate solution within the planning time limit
sage44_manual_static_tall_014,manual_grid,timeout,False,False,True,0.0346519292642336,0.0245874143248377,24.6608669757843,973,,,,success,True,False,False,0.0087865191846791,0.0186124708318421,11.912448167800903,90,,,,success,True,False,False,0.0081025150094041,0.0092671363590872,5.136213541030884,27,True,False,
sage44_manual_static_tall_015,manual_grid,success,True,False,False,0.0094392706072219,0.0554319431864414,5.245476722717285,165,,,,success,True,False,False,0.008031330589511,0.055607001837078,8.009727954864502,72,,,,success,True,False,False,0.0094965838769691,0.0553963146604717,5.153265953063965,23,True,False,
sage44_manual_static_tall_016,manual_grid,success,True,False,False,0.0094180643652958,0.05327366483528,16.866507530212402,162,,,,success,True,False,False,0.0096113187114529,0.0556379933194078,7.403943061828613,69,,,,success,True,False,False,0.0078488871736653,0.0550806891552067,5.115812540054321,23,True,False,
sage44_manual_static_tall_017,manual_grid,success,True,False,False,0.0096129684764012,0.0530412999781302,6.424040794372559,196,,,,success,True,False,False,0.008360871800716,0.0555434306713585,9.369879722595217,75,,,,success,True,False,False,0.0094425395396485,0.052708485626715,5.190937042236328,24,True,False,
sage44_manual_static_tall_021,manual_grid,timeout,False,False,True,0.0233551337916679,0.043953428106205,21.794818878173828,994,,,,success,True,False,False,0.0085673821273266,0.048569007370463,8.929656267166138,83,,,,success,True,False,False,0.00836621596487,0.0471274331914766,5.129963159561157,17,True,False,
sage44_manual_static_tall_022,manual_grid,success,True,False,False,0.0099860286372002,0.0736035467385853,6.386342525482178,223,,,,success,True,False,False,0.0086325229636745,0.0697807160742645,7.877966165542602,70,,,,success,True,False,False,0.0092979548342885,0.0750212702015846,5.05022120475769,15,True,False,
sage44_manual_static_tall_026,manual_grid,success,True,False,False,0.009450870325161,0.0638725239316686,8.425503730773926,118,,,,success,True,False,False,0.0093634141063923,0.0615034924300944,8.896158218383789,78,,,,success,True,False,False,0.0081972689255524,0.0606976852009737,5.04263710975647,11,True,False,
sage44_manual_static_tall_027,manual_grid,success,True,False,False,0.0095505886058416,0.0816473533143303,5.198970556259155,128,,,,success,True,False,False,0.0092192765103018,0.0747247904345647,7.288551330566406,59,,,,success,True,False,False,0.0098680044375619,0.0747078559286954,5.051634073257446,12,True,False,
sage44_manual_static_tall_031,manual_grid,success,True,False,False,0.0099625626487895,0.0426078020802172,13.638432025909424,587,,,,success,True,False,False,0.0095628897685297,0.0323168615387126,11.45024347305298,125,,,,success,True,False,False,0.0089758349312826,0.0171344413268141,5.205451488494873,61,True,False,
sage44_manual_static_tall_032,manual_grid,success,True,False,False,0.009892382773836,0.0670164404061287,8.04671597480774,190,,,,success,True,False,False,0.0088000759298208,0.0672436434075897,11.5932035446167,90,,,,success,True,False,False,0.0099194728135963,0.0592276118839514,5.096181869506836,20,True,False,
sage44_manual_static_tall_033,manual_grid,success,True,False,False,0.0095930302569369,0.0773398628230786,5.120908498764038,144,,,,success,True,False,False,0.0095202893864868,0.0745399209955375,9.748956441879272,96,,,,success,True,False,False,0.0098456574682318,0.0847336257754661,5.175352573394775,21,True,False,
sage44_manual_static_tall_034,manual_grid,success,True,False,False,0.0095008630651632,0.0724546662093116,5.094286680221558,162,,,,success,True,False,False,0.0099034517641352,0.0549839652431145,10.751816987991331,112,,,,success,True,False,False,0.008897020355359,0.0555934506838782,5.199613809585571,26,True,False,
sage44_manual_static_tall_035,manual_grid,timeout,False,False,True,0.0418173415461297,0.0422037321448326,21.8584041595459,994,,,,success,True,False,False,0.0081663746727865,0.0056240875393152,15.205302238464355,179,,,,approximate_only,False,False,False,0.6770992404344013,0.0100272895649616,5.166660308837891,18,False,True,OMPL RRTstar returned only an approximate solution within the planning time limit
sage44_manual_static_tall_036,manual_grid,timeout,False,False,True,0.0291946693947953,0.043632798743248,25.035191297531128,788,,,,success,True,False,False,0.0080975333584259,0.0036862295508384,8.84500765800476,85,,,,success,True,False,False,0.0096638208329746,0.000736006502826,5.1061110496521,18,True,False,
sage44_manual_static_tall_037,manual_grid,timeout,False,False,True,0.0204759702600088,0.0192823084871351,23.58421540260315,987,,,,success,True,False,False,0.0088641558503904,0.0130799244415127,8.200778722763062,77,,,,success,True,False,False,0.0078747763284342,0.0130236582674866,5.0450074672698975,13,True,False,
sage44_manual_static_tall_038,manual_grid,success,True,False,False,0.0096990064235842,0.0878999940395355,11.245372533798218,120,,,,success,True,False,False,0.007807267131458,0.0878999940395355,7.932640790939331,74,,,,success,True,False,False,0.0079147403326014,0.0878999940395355,5.094255685806274,10,True,False,
sage44_manual_static_tall_039,manual_grid,success,True,False,False,0.0095547853599827,0.0878999940395355,4.42733907699585,81,,,,success,True,False,False,0.0097918757834525,0.0878999940395355,5.359338045120239,40,,,,success,True,False,False,0.0077589207218852,0.0878999940395355,5.267323970794678,6,True,False,
sage44_manual_static_tall_040,manual_grid,success,True,False,False,0.0098812298048103,0.04799724548959,6.5592920780181885,223,,,,success,True,False,False,0.0080621898155012,0.015688477405187,10.91843295097351,113,,,,success,True,False,False,0.0094232387059226,0.0222891925066709,5.099404811859131,27,True,False,
sage44_manual_static_tall_041,manual_grid,success,True,False,False,0.0099279597762392,0.0488817195404554,8.165066480636597,165,,,,success,True,False,False,0.0082434819084371,0.0317620758780669,7.94533634185791,78,,,,success,True,False,False,0.0091985889177751,0.0057417043238878,5.124382019042969,27,True,False,
sage44_manual_static_tall_042,manual_grid,success,True,False,False,0.0099245993846175,0.0878999940395355,5.380848169326782,138,,,,success,True,False,False,0.0081917238690134,0.0867811339146489,8.4450101852417,82,,,,success,True,False,False,0.007254241732304,0.0842749577371112,5.133349418640137,24,True,False,
sage44_manual_static_tall_043,manual_grid,success,True,False,False,0.0079143194375947,0.0878999940395355,4.180795669555664,117,,,,success,True,False,False,0.0079521630159919,0.0878999940395355,7.726132392883301,74,,,,success,True,False,False,0.0092000079660229,0.0865819650745714,5.12286376953125,21,True,False,
sage44_manual_static_tall_044,manual_grid,success,True,False,False,0.0093563157537004,0.0878999940395355,5.249703645706177,120,,,,success,True,False,False,0.0076083890459739,0.0856534335282163,7.802260160446167,73,,,,success,True,False,False,0.0096942564077737,0.0878999940395355,5.069537878036499,19,True,False,
sage44_manual_static_tall_047,manual_grid,success,True,False,False,0.0099900446696645,0.044287588329255,7.018155574798584,249,,,,success,True,False,False,0.0082425513486911,0.038554090842227,7.402006387710571,68,,,,success,True,False,False,0.0088361159931199,0.0422315142232804,5.09689474105835,19,True,False,
sage44_manual_static_tall_048,manual_grid,success,True,False,False,0.0097088979776495,0.0645920276946677,6.712406158447266,145,,,,success,True,False,False,0.0081102017315716,0.0603553091829699,7.7546775341033936,75,,,,success,True,False,False,0.0089281581630055,0.054174839139957,5.115586757659912,20,True,False,
sage44_manual_static_tall_049,manual_grid,success,True,False,False,0.0094681384819355,0.062615291012039,4.609032392501831,126,,,,success,True,False,False,0.0074653117964652,0.0809825105918275,7.800131797790527,75,,,,success,True,False,False,0.0083714422346482,0.072586009956423,5.125844955444336,17,True,False,
sage44_manual_static_tall_050,manual_grid,success,True,False,False,0.0097255916717698,0.048477008692812,4.694475412368774,137,,,,success,True,False,False,0.0092056612577154,0.0495335496747943,8.147525310516357,80,,,,success,True,False,False,0.0094321915130884,0.0391665697058207,5.161142349243164,16,True,False,
sage44_manual_static_tall_051,manual_grid,timeout,False,False,True,0.0254809335045065,0.0482251880347728,21.792067289352417,995,,,,success,True,False,False,0.0099143582325156,0.0124584028363227,8.67847490310669,82,,,,success,True,False,False,0.0094384760650737,0.0086445398188387,5.085756301879883,17,True,False,
sage44_manual_static_tall_052,hard_reach,success,True,False,False,0.0099269594266159,0.0468528068125378,7.818834543228149,291,,,,success,True,False,False,0.0095194590831754,0.0570530003949128,11.726120710372925,129,,,,success,True,False,False,0.0090888422591754,0.0137044715123717,5.184133291244507,43,True,False,
sage44_manual_static_tall_053,hard_reach,timeout,False,False,True,0.0409840411578296,0.0504260045915348,24.59553551673889,973,,,,success,True,False,False,0.0095849171536671,0.0485630946611848,11.02429175376892,117,,,,success,True,False,False,0.009177754251084,0.0679472385955442,5.187801599502564,41,True,False,
sage44_manual_static_tall_054,hard_reach,success,True,False,False,0.0096422497720654,0.0280263492185335,14.546829462051392,246,,,,success,True,False,False,0.0098377986388011,0.0287412037582119,8.948514938354492,93,,,,success,True,False,False,0.0090065634291239,0.0185332973527948,5.133101224899292,36,True,False,
sage44_manual_static_tall_055,hard_reach,timeout,False,False,True,0.124745258994716,0.0461062162079881,22.88047885894776,992,,,,success,True,False,False,0.0096645839215811,0.0417526825308799,13.816781520843506,154,,,,approximate_only,False,False,False,0.8799778448258156,0.0878999940395355,5.15595555305481,41,False,True,OMPL RRTstar returned only an approximate solution within the planning time limit
sage44_manual_static_tall_056,hard_reach,timeout,False,False,True,0.0576951114039473,0.0494648835025062,24.495760679244995,977,,,,success,True,False,False,0.0099225463567627,0.0009403108201426,15.032086372375488,175,,,,success,True,False,False,0.0097890647828302,0.0352174598304811,5.180325269699097,32,True,False,
sage44_manual_static_tall_057,hard_reach,timeout,False,False,True,0.0338337934142562,0.0457985161066055,21.89411759376526,994,,,,success,True,False,False,0.0094657501175983,0.0373617887002524,15.89773178100586,185,,,,approximate_only,False,False,False,0.2889720443512964,0.0461586996895292,5.378632307052612,35,False,True,OMPL RRTstar returned only an approximate solution within the planning time limit
sage44_manual_static_tall_058,hard_reach,timeout,False,False,True,0.0233171853292377,0.0255433866234874,22.894932508468628,668,,,,success,True,False,False,0.0094377394531122,0.0292233129278717,18.17799186706543,217,,,,success,True,False,False,0.0095046005330063,0.0276376022109896,5.113730430603027,37,True,False,
