difficulty_tag,metric,num_pairs,sage_wins,ties,storm_wins,sage_win_rate,tie_rate,storm_win_rate
all,wall_time,60,28,0,32,0.4666666666666667,0.0,0.5333333333333333
all,final_ee_error,60,47,4,9,0.7833333333333333,0.06666666666666667,0.15
all,minimum_safety_margin,60,20,5,35,0.3333333333333333,0.08333333333333333,0.5833333333333334
all,trajectory_length_ee,60,25,0,35,0.4166666666666667,0.0,0.5833333333333334
all,trajectory_length_joint,60,43,0,17,0.7166666666666667,0.0,0.2833333333333333
hard_reach,wall_time,11,6,0,5,0.5454545454545454,0.0,0.45454545454545453
hard_reach,final_ee_error,11,10,0,1,0.9090909090909091,0.0,0.09090909090909091
hard_reach,minimum_safety_margin,11,4,1,6,0.36363636363636365,0.09090909090909091,0.5454545454545454
hard_reach,trajectory_length_ee,11,4,0,7,0.36363636363636365,0.0,0.6363636363636364
hard_reach,trajectory_length_joint,11,6,0,5,0.5454545454545454,0.0,0.45454545454545453
manual_grid,wall_time,49,22,0,27,0.4489795918367347,0.0,0.5510204081632653
manual_grid,final_ee_error,49,37,4,8,0.7551020408163265,0.08163265306122448,0.16326530612244897
manual_grid,minimum_safety_margin,49,16,4,29,0.32653061224489793,0.08163265306122448,0.5918367346938775
manual_grid,trajectory_length_ee,49,21,0,28,0.42857142857142855,0.0,0.5714285714285714
manual_grid,trajectory_length_joint,49,37,0,12,0.7551020408163265,0.0,0.24489795918367346
